ANOENC,NUMERO,CODIGO,CODIGO 4D,GASTO,CCAA,CAPROV,TAMAMU,TAMANO,TIPHOGAR1,TIPHOGAR7,INTERIN
2023,537,9450,945,7956.01,"Madrid, Comunidad de",No,Municipio con 50.000 o más y menos 100.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 1500 a menos de 2000 €
2023,15482,9322,932,7966.95,"Murcia, Región de",Sí,Municipio de 100.000 habitantes o más,Cinco personas,Pareja con tres o más hijos menores de 16 años,Pareja con tres o mas hijos,De 3000 a menos de 5000 €
2023,13854,9321,932,7995.05,País Vasco,No,Municipio con 20.000 o más y menos de 50.000 habitantes,Una persona,Una persona de 30 a 64 años,Persona sola de menos de 65 años,De 500 a menos de 1000 €
2023,17267,9322,932,7995.83,Canarias,Sí,Municipio de 100.000 habitantes o más,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 1500 a menos de 2000 €
2023,17049,9322,932,8018.96,País Vasco,No,Municipio con 10.000 o más y menos de 20.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 3000 a menos de 5000 €
2023,7298,9322,932,8041.88,Castilla y León,Sí,Municipio de 100.000 habitantes o más,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 3000 a menos de 5000 €
2023,5582,9322,932,8074.52,"Murcia, Región de",Sí,Municipio de 100.000 habitantes o más,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 2500 a menos de 3000 €
2023,8411,9321,932,8140.11,Comunitat Valenciana,No,Municipio de 100.000 habitantes o más,Dos personas,Otros Hogares,Otros tipos de hogares,De 2500 a menos de 3000 €
2023,17589,9322,932,8143.92,"Asturias, Principado de",Sí,Municipio de 100.000 habitantes o más,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 1500 a menos de 2000 €
2023,7219,9322,932,8150.61,Castilla y León,No,Municipio con menos de 10.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 2000 a menos de 2500 €
2023,417,9322,932,8155.3,Castilla - La Mancha,Sí,Municipio de 100.000 habitantes o más,Cinco personas,Pareja con tres o más hijos menores de 16 años,Pareja con tres o mas hijos,De 5000 a menos de 7000 €
2023,8559,9450,945,8174.74,Andalucía,Sí,Municipio de 100.000 habitantes o más,Cuatro personas,Otros Hogares,Otros tipos de hogares,De 2500 a menos de 3000 €
2023,19901,9322,932,8204.21,"Madrid, Comunidad de",No,Municipio con 50.000 o más y menos 100.000 habitantes,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 5000 a menos de 7000 €
2023,2366,9322,932,8265.4,"Rioja, La",Sí,Municipio de 100.000 habitantes o más,Tres personas,Pareja con un hijo menor de 16 años,Pareja con un hijo,De 1500 a menos de 2000 €
2023,6032,9322,932,8267.52,Andalucía,No,Municipio con menos de 10.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 1500 a menos de 2000 €
2023,11383,9321,932,8276.5,Cataluña,No,Municipio con 10.000 o más y menos de 20.000 habitantes,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 3000 a menos de 5000 €
2023,8865,9450,945,8277.36,"Balears, Illes",Sí,Municipio de 100.000 habitantes o más,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 2500 a menos de 3000 €
2023,1299,9450,945,8280.1,Andalucía,No,Municipio con menos de 10.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 1500 a menos de 2000 €
2023,3725,9322,932,8281.9,"Murcia, Región de",Sí,Municipio de 100.000 habitantes o más,Dos personas,Pareja sin hijos teniendo al menos uno de los miembros 65 años o más,Pareja sin hijos,De 2500 a menos de 3000 €
2023,10456,9450,945,8291,"Balears, Illes",Sí,Municipio de 100.000 habitantes o más,Tres personas,Pareja con un hijo menor de 16 años,Pareja con un hijo,De 3000 a menos de 5000 €
2023,19914,9450,945,8294.37,Canarias,No,Municipio con 10.000 o más y menos de 20.000 habitantes,Tres personas,"Padre o madre solo, con al menos un hijo de 16 o más años",Un adulto con hijos,De 3000 a menos de 5000 €
2023,12121,9322,932,8355.88,Cantabria,Sí,Municipio de 100.000 habitantes o más,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 3000 a menos de 5000 €
2023,16973,9322,932,8361.96,"Balears, Illes",No,Municipio con menos de 10.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 3000 a menos de 5000 €
2023,6032,9450,945,8374.16,Andalucía,No,Municipio con menos de 10.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 1500 a menos de 2000 €
2023,13413,9450,945,8374.27,Comunitat Valenciana,No,Municipio con menos de 10.000 habitantes,Cuatro personas,Pareja con dos hijos menores de 16 años,Pareja con dos hijos,De 2000 a menos de 2500 €
2023,2718,9322,932,8375.23,Extremadura,No,Municipio con menos de 10.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 3000 a menos de 5000 €
2023,7367,9450,945,8399.07,"Madrid, Comunidad de",No,Municipio con menos de 10.000 habitantes,Dos personas,Pareja sin hijos teniendo al menos uno de los miembros 65 años o más,Pareja sin hijos,De 2500 a menos de 3000 €
2023,5306,9322,932,8402.76,Comunitat Valenciana,No,Municipio con 10.000 o más y menos de 20.000 habitantes,Cinco personas,Pareja con al menos un hijo de 16 o más años,Pareja con tres o mas hijos,De 3000 a menos de 5000 €
2023,19055,9321,932,8431.27,Extremadura,Sí,Municipio con 50.000 o más y menos 100.000 habitantes,Tres personas,Pareja con un hijo menor de 16 años,Pareja con un hijo,De 3000 a menos de 5000 €
2023,10980,9322,932,8443.54,"Madrid, Comunidad de",No,Municipio con menos de 10.000 habitantes,Tres personas,"Padre o madre solo, con al menos un hijo de 16 o más años",Un adulto con hijos,De 1500 a menos de 2000 €
2023,12513,9322,932,8473.65,"Madrid, Comunidad de",No,Municipio con 50.000 o más y menos 100.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 5000 a menos de 7000 €
2023,11251,9322,932,8477.29,Comunitat Valenciana,No,Municipio con 20.000 o más y menos de 50.000 habitantes,Tres personas,Pareja con un hijo menor de 16 años,Pareja con un hijo,De 3000 a menos de 5000 €
2023,5891,9450,945,8478.93,Cataluña,No,Municipio con 50.000 o más y menos 100.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 3000 a menos de 5000 €
2023,19407,9322,932,8487.22,Aragón,Sí,Municipio de 100.000 habitantes o más,Cuatro personas,Otros Hogares,Otros tipos de hogares,De 3000 a menos de 5000 €
2023,1479,9450,945,8521.11,"Murcia, Región de",No,Municipio con 50.000 o más y menos 100.000 habitantes,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 3000 a menos de 5000 €
2023,11507,9450,945,8530.72,"Balears, Illes",No,Municipio con 50.000 o más y menos 100.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 2500 a menos de 3000 €
2023,14756,9450,945,8536.13,"Madrid, Comunidad de",Sí,Municipio de 100.000 habitantes o más,Cuatro personas,Pareja con al menos un hijo de 16 o más años,Pareja con dos hijos,De 2500 a menos de 3000 €
2023,20024,9321,932,8551.08,"Rioja, La",Sí,Municipio de 100.000 habitantes o más,Tres personas,Un adulto con niños menores de 16 años,Un adulto con hijos,De 2500 a menos de 3000 €
2023,6988,9322,932,8555.91,Castilla y León,No,Municipio con menos de 10.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 3000 a menos de 5000 €
2023,15462,9322,932,8565.88,"Madrid, Comunidad de",No,Municipio con 50.000 o más y menos 100.000 habitantes,Tres personas,Pareja con un hijo menor de 16 años,Pareja con un hijo,De 2500 a menos de 3000 €
2023,5608,9450,945,8569.8,"Madrid, Comunidad de",No,Municipio con 20.000 o más y menos de 50.000 habitantes,Dos personas,"Padre o madre solo, con al menos un hijo de 16 o más años",Un adulto con hijos,De 3000 a menos de 5000 €
2023,15776,9322,932,8575.14,"Madrid, Comunidad de",No,Municipio con 50.000 o más y menos 100.000 habitantes,Tres personas,Pareja con al menos un hijo de 16 o más años,Pareja con un hijo,De 2000 a menos de 2500 €
2023,6034,9450,945,8575.28,Canarias,Sí,Municipio de 100.000 habitantes o más,Cuatro personas,"Padre o madre solo, con al menos un hijo de 16 o más años",Un adulto con hijos,De 1000 a menos de 1500 €
2023,17051,9450,945,8579.81,Castilla y León,No,Municipio con menos de 10.000 habitantes,Cuatro personas,Otros Hogares,Otros tipos de hogares,De 1500 a menos de 2000 €
2023,15516,9322,932,8597.51,Castilla - La Mancha,No,Municipio con 20.000 o más y menos de 50.000 habitantes,Dos personas,Pareja sin hijos teniendo los dos miembros menos de 65 años,Pareja sin hijos,De 2000 a menos de 2500 €
